Survived,Pclass,Sex,Age,Fare,Embarked_Q,Embarked_S,FamilySize,AgeGroup_Teen,AgeGroup_Adult,AgeGroup_Middle-aged,AgeGroup_Senior,LogFare,AgeBin,IsAlone
0,3,0,22.0,7.25,0,1,2,False,True,False,False,2.1102132003465894,2,0
1,1,1,38.0,71.2833,0,0,2,False,False,True,False,4.2805931204649,3,0
1,3,1,26.0,7.925,0,1,1,False,True,False,False,2.188856327665703,2,1
1,1,1,35.0,53.1,0,1,2,False,True,False,False,3.9908341858524357,2,0
0,3,0,35.0,8.05,0,1,1,False,True,False,False,2.2027647577118348,2,1
0,3,0,28.0,8.4583,1,0,1,False,True,False,False,2.246892662898172,2,1
0,1,0,54.0,51.8625,0,1,1,False,False,True,False,3.967694202798607,3,1
0,3,0,2.0,21.075,0,1,5,False,False,False,False,3.0944457464900235,0,0
1,3,1,27.0,11.1333,0,1,3,False,True,False,False,2.495953738718064,2,0
1,2,1,14.0,30.0708,0,0,2,True,False,False,False,3.436268471383741,1,0
1,3,1,4.0,16.7,0,1,3,False,False,False,False,2.8735646395797834,0,0
1,1,1,58.0,26.55,0,1,1,False,False,True,False,3.3160025355989236,3,1
0,3,0,20.0,8.05,0,1,1,False,True,False,False,2.2027647577118348,2,1
0,3,0,39.0,31.275,0,1,7,False,False,True,False,3.4742929367327062,3,0
0,3,1,14.0,7.8542,0,1,1,True,False,False,False,2.180891922715322,1,1
1,2,1,55.0,16.0,0,1,1,False,False,True,False,2.833213344056216,3,1
0,3,0,2.0,29.125,1,0,6,False,False,False,False,3.405355391810819,0,0
1,2,0,28.0,13.0,0,1,1,False,True,False,False,2.6390573296152584,2,1
0,3,1,31.0,18.0,0,1,2,False,True,False,False,2.9444389791664403,2,0
1,3,1,28.0,7.225,0,0,1,False,True,False,False,2.1071782966514356,2,1
0,2,0,35.0,26.0,0,1,1,False,True,False,False,3.295836866004329,2,1
1,2,0,34.0,13.0,0,1,1,False,True,False,False,2.6390573296152584,2,1
1,3,1,15.0,8.0292,1,0,1,True,False,False,False,2.2004637699272855,1,1
1,1,0,28.0,35.5,0,1,1,False,True,False,False,3.597312260588446,2,1
0,3,1,8.0,21.075,0,1,5,False,False,False,False,3.0944457464900235,0,0
1,3,1,38.0,31.3875,0,1,7,False,False,True,False,3.4777725458882283,3,0
0,3,0,28.0,7.225,0,0,1,False,True,False,False,2.1071782966514356,2,1
0,1,0,19.0,263.0,0,1,6,False,True,False,False,5.575949103146316,2,0
1,3,1,28.0,7.8792,1,0,1,False,True,False,False,2.1837114628556327,2,1
0,3,0,28.0,7.8958,0,1,1,False,True,False,False,2.1855792552411137,2,1
0,1,0,40.0,27.7208,0,0,1,False,False,True,False,3.357621598945279,3,1
1,1,1,28.0,146.5208,0,0,2,False,True,False,False,4.993969182787072,2,0
1,3,1,28.0,7.75,1,0,1,False,True,False,False,2.169053700369523,2,1
0,2,0,66.0,10.5,0,1,1,False,False,False,True,2.4423470353692043,4,1
0,1,0,28.0,82.1708,0,0,2,False,True,False,False,4.420896324687287,2,0
0,1,0,42.0,52.0,0,1,2,False,False,True,False,3.970291913552122,3,0
1,3,0,28.0,7.2292,0,0,1,False,True,False,False,2.1076888046179385,2,1
0,3,0,21.0,8.05,0,1,1,False,True,False,False,2.2027647577118348,2,1
0,3,1,18.0,18.0,0,1,3,True,False,False,False,2.9444389791664403,1,0
1,3,1,14.0,11.2417,0,0,2,True,False,False,False,2.5048481563289,1,0
0,3,1,40.0,9.475,0,1,2,False,False,True,False,2.348991465808201,3,0
0,2,1,27.0,21.0,0,1,2,False,True,False,False,3.091042453358316,2,0
0,3,0,28.0,7.8958,0,0,1,False,True,False,False,2.1855792552411137,2,1
1,2,1,3.0,41.5792,0,0,4,False,False,False,False,3.7513658711253766,0,0
1,3,1,19.0,7.8792,1,0,1,False,True,False,False,2.1837114628556327,2,1
0,3,0,28.0,8.05,0,1,1,False,True,False,False,2.2027647577118348,2,1
0,3,0,28.0,15.5,1,0,2,False,True,False,False,2.803360380906535,2,0
1,3,1,28.0,7.75,1,0,1,False,True,False,False,2.169053700369523,2,1
0,3,0,28.0,21.6792,0,0,3,False,True,False,False,3.1214482048688246,2,0
0,3,1,18.0,17.8,0,1,2,True,False,False,False,2.9338568698359038,1,0
0,3,0,7.0,39.6875,0,1,6,False,False,False,False,3.705920919968788,0,0
0,3,0,21.0,7.8,0,1,1,False,True,False,False,2.174751721484161,2,1
1,1,1,49.0,76.7292,0,0,2,False,False,True,False,4.353230991152628,3,0
1,2,1,29.0,26.0,0,1,2,False,True,False,False,3.295836866004329,2,0
0,1,0,65.0,61.9792,0,0,2,False,False,False,True,4.142804513146981,4,0
1,1,0,28.0,35.5,0,1,1,False,True,False,False,3.597312260588446,2,1
1,2,1,21.0,10.5,0,1,1,False,True,False,False,2.4423470353692043,2,1
0,3,0,28.5,7.2292,0,0,1,False,True,False,False,2.1076888046179385,2,1
1,2,1,5.0,27.75,0,1,4,False,False,False,False,3.3586377672433594,0,0
0,3,0,11.0,46.9,0,1,8,False,False,False,False,3.8691155044168695,0,0
0,3,0,22.0,7.2292,0,0,1,False,True,False,False,2.1076888046179385,2,1
1,1,1,38.0,80.0,0,1,1,False,False,True,False,4.394449154672439,3,1
0,1,0,45.0,83.475,0,1,2,False,False,True,False,4.436455632600354,3,0
0,3,0,4.0,27.9,0,1,6,False,False,False,False,3.3638415951183864,0,0
0,1,0,28.0,27.7208,0,0,1,False,True,False,False,3.357621598945279,2,1
1,3,0,28.0,15.2458,0,0,3,False,True,False,False,2.7878344138303452,2,0
1,2,1,29.0,10.5,0,1,1,False,True,False,False,2.4423470353692043,2,1
0,3,0,19.0,8.1583,0,1,1,False,True,False,False,2.2146605719425225,2,1
1,3,1,17.0,7.925,0,1,7,True,False,False,False,2.188856327665703,1,0
0,3,0,26.0,8.6625,0,1,3,False,True,False,False,2.2682524139135403,2,0
0,2,0,32.0,10.5,0,1,1,False,True,False,False,2.4423470353692043,2,1
0,3,1,16.0,46.9,0,1,8,True,False,False,False,3.8691155044168695,1,0
0,2,0,21.0,73.5,0,1,1,False,True,False,False,4.310799125385514,2,1
0,3,0,26.0,14.4542,0,0,2,False,True,False,False,2.737880811060884,2,0
1,3,0,32.0,56.4958,0,1,1,False,True,False,False,4.05171190165724,2,1
0,3,0,25.0,7.65,0,1,1,False,True,False,False,2.157559320943788,2,1
0,3,0,28.0,7.8958,0,1,1,False,True,False,False,2.1855792552411137,2,1
0,3,0,28.0,8.05,0,1,1,False,True,False,False,2.2027647577118348,2,1
1,2,0,0.83,29.0,0,1,3,False,False,False,False,3.4011973816621555,0,0
1,3,1,30.0,12.475,0,1,1,False,True,False,False,2.600836116795061,2,1
0,3,0,22.0,9.0,0,1,1,False,True,False,False,2.302585092994046,2,1
1,3,0,29.0,9.5,0,1,1,False,True,False,False,2.3513752571634776,2,1
1,3,1,28.0,7.7875,1,0,1,False,True,False,False,2.1733302571367834,2,1
0,1,0,28.0,47.1,0,1,1,False,True,False,False,3.8732821771117156,2,1
1,2,1,17.0,10.5,0,1,1,True,False,False,False,2.4423470353692043,1,1
1,3,1,33.0,15.85,0,1,4,False,True,False,False,2.8243506567983707,2,0
0,3,0,16.0,34.375,0,1,5,True,False,False,False,3.5660053559634015,1,0
0,3,0,28.0,8.05,0,1,1,False,True,False,False,2.2027647577118348,2,1
1,1,1,23.0,263.0,0,1,6,False,True,False,False,5.575949103146316,2,0
0,3,0,24.0,8.05,0,1,1,False,True,False,False,2.2027647577118348,2,1
0,3,0,29.0,8.05,0,1,1,False,True,False,False,2.2027647577118348,2,1
0,3,0,20.0,7.8542,0,1,1,False,True,False,False,2.180891922715322,2,1
0,1,0,46.0,61.175,0,1,2,False,False,True,False,4.1299529896894684,3,0
0,3,0,26.0,20.575,0,1,4,False,True,False,False,3.0715352369694915,2,0
0,3,0,59.0,7.25,0,1,1,False,False,True,False,2.1102132003465894,3,1
